ID	DOCULECT	CONCEPT	VALUE	TOKENS	LANGID	COGID	ALIGNMENT	CONCEPT_PORTUGUESE	CONCEPTICON_ID	CONCEPT_ORIGINAL_LISTS	SOURCE
24	Achagua	ALL	kinínama	k i n i n a m a	1	34			98	all	Melendez 2011
26	Warekena	ALL		p a j a ɾ u	8	41	p a j a ( ɾ u - - )		98	all	Aikhenvald 2012
188	Warekena	ALL		u b e	8	19			98	all	Aikhenvald 2012
1286	Baniwa	ALL	phálhai	pʰ á lh a i	2	41	pʰ á lh a ( - i - - )		98	all	Ramirez 2001
1863	Baré	ALL		w a r a	3	3	w a r a ( - - )		98	all	Oliveira 93
2083	Kabiyari	ALL	put'i	p u t 'i	4	10			98	all	Epps
2307	Piapoco	ALL	canánama	k a n á n a m a	5	34			98	all	Epps
2529	Piapoco	ALL	macáita	m a k á i t a	5	18			98	all	Epps
2640	Baniwa_Waliperidakenai	ALL	pʰiomɛ	pʰ i o m ɛ	11	30	pʰ i - o m ɛ ( - - - - )	todos	98	all	Bruzzi Alves da Silva 1961
2662	Baniwa_Hohoodene	ALL	pʰiomɛ	pʰ i o m ɛ	4	30	pʰ i - o m ɛ ( - - - - )	todos	98	all	Bruzzi Alves da Silva 1961
2684	Baniwa_Dzurema	ALL	pʰiumɛ	pʰ i u m ɛ	2	30	pʰ i - u m ɛ ( - - - - )	todos	98	all	Bruzzi Alves da Silva 1961
2706	Baniwa_Mauliene	ALL	pʰiumɛ	pʰ i u m ɛ	8	30	pʰ i - u m ɛ ( - - - - )	todos	98	all	Bruzzi Alves da Silva 1961
2728	Koripako_Kumadene	ALL	phiume	pʰ i u m e	7	30	pʰ i - u m e ( - - - - )	todos	98	all	Bruzzi Alves da Silva 1961
2751	Resigaro	ALL	phé?tó?	pʰ é ʔ t ó ʔ	6	10			98	all	H&R 1992
2752	Baniwa_Kowaidakenai	ALL	kanakuda	k a n a k u d a	5	34		todos	98	all	Bruzzi Alves da Silva 1961
2772	Baniwa_Dzawinai	ALL	phiume	pʰ i u m e	14	30	pʰ i - u m e ( - - - - )	todos	98	all	Bruzzi Alves da Silva 1961
2794	Tariana_Bruzzi	ALL	mehanʊ̃pɛ	m e h a n ʊ̃ p ɛ	12	2976	m e h a n ʊ̃ p ɛ - -	todos	98	all	Bruzzi Alves da Silva 1961
2816	Koripako_aha	ALL	piomi	p i o m i	1	30	p i - o m i ( - - - - )	todos	98	all	Granadillo 2006
2838	Koripako_ehe	ALL	padeːniri	p a d eː n i ɾ i	3	41	p a d eː ( n i ɾ i )	todos	98	all	Granadillo 2006
2860	Koripako_oho	ALL	padeniri	p a d e n i ɾ i	10	41	p a d e ( n i ɾ i )	todos	98	all	Granadillo 2006
2882	Koripako_name	ALL	piomi	p i o m i	9	30	p i - o m i ( - - - - )	todos	98	all	Granadillo 2006
2904	Werekena_Baniva	ALL	pajɛɾoi	p a j ɛ ɾ o i	13	41	p a j ɛ ( ɾ o - i )	todos	98	all	Bruzzi Alves da Silva 1961
2971	Tariana	ALL		tʰ ú j a	7	15			98	all	Aikhenvald 2001
3193	Yukuna	ALL	pihukeha	p i h u k e h a	9	30	p i h u - - ( k e h a )		98	all	Epps
5080	Kauixana	ALL	ló(ɨ)wa-ma	l ó ɨ w a - m a	15	21494	l ó ɨ w a - m a	tudo			
6151	Yumana	ALL	kukuumɨ	k u k uu m ɨ	16	9	k u k uu m ɨ	todos			Ramirez 2020
