NUMBER	ENGLISH	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	ALL	todos
2	ASH	cinza
3	BARK	casca
4	BELLY	barriga
5	BIG	grande
6	BIRD	pássaro
7	BITE	morder
8	BLACK	preto
9	BLOOD	sangue
10	BONE	osso
11	CLAW OR NAIL	unha
12	CLOUD	nuvem
13	COLD	frio
14	COME	vir
15	DIE	morrer
16	DOG	cachorro
17	DRINK	beber
18	DRY	seco
19	EAR	orelha
20	EARTH (SOIL)	terra
21	EAT	comer
22	EGG	ovo
23	FAT (ORGANIC SUBSTANCE)	gordura
24	FLY (MOVE THROUGH AIR)	voar
25	FOOT	pé
26	FULL	cheio
27	GIVE	dar
28	GOOD	bom
29	GREEN	verde
30	HAIR (HEAD)	cabelo
31	HAND	mão
32	HEAD	cabeça
33	HEAD LOUSE	piolho
34	HEAR	ouvir
35	HEART	coração
36	HORN (ANATOMY)	chifre
37	HOT OR WARM	quente
38	I	eu
39	KILL	matar
40	KNEE	joelho
41	KNOW (SOMETHING)	saber
42	LEAF	folha
43	LIE DOWN	deitar
44	LIVER	fígado
45	LONG	comprido
46	MAN	homem
47	MANY	muitos
48	MOON	lua
49	MOUNTAIN	serra
50	MOUTH	boca
51	NAME	nome
52	NECK	pescoço
53	NEW	novo
54	NIGHT	noite
55	NOSE	nariz
56	NOT	não
57	ONE	um
58	PATH	caminho
59	PEOPLE OR PERSON	Pessoa Civilizado
60	RAIN (PRECIPITATION)	chuva
61	RED	vermelho
62	ROCK	pedra
63	ROOT	raiz
64	ROUND	redondo
65	SAND	areia
66	SAY	dizer
67	SEE	ver
68	SEED	semente
69	SIT	sentado
70	SKIN	pele
71	SLEEP	dormir
72	SMALL	pequeno
73	SMOKE (EXHAUST)	fumaça
74	STAND	de pé
75	STAR	estrela
76	SUN	sol
77	SWIM	nadar
78	TAIL	rabo
79	THAT	aquele
80	THIS	este
81	THOU	tu
82	TONGUE	língua
83	TOOTH	dente
84	TREE	árvore
85	TWO	dois
86	WALK	andar
87	WATER	água
88	WE	nós
89	WHAT	que cousa
90	WHITE	branco
91	WHO	quem
92	WOMAN	mulher
93	YELLOW	amarelo
94	YOU	vós
